City ID,City,Country,Lat,Lng,Temperature,Humidity,Clouds,Wind Speed
3459785,João Pinheiro,BR,-17.7425,-46.1725,81.05,63,0,5.61
1337607,Kudahuvadhoo,MV,2.6708,72.8944,83.82,71,0,9.75
1714733,Dingle,PH,10.9995,122.6711,73.99,95,100,5.26
5767918,Pierre,US,44.3683,-100.351,39.49,69,1,3.44
2068110,Kununurra,AU,-15.7667,128.7333,80.6,94,58,3.44
3092472,Malbork,PL,54.0359,19.0266,45.0,100,100,16.51
4829791,Albertville,US,34.2676,-86.2089,65.05,82,40,4.61
5404476,Ukiah,US,39.1502,-123.2078,37.24,80,1,3.11
1275818,Bhuban,IN,20.8833,85.8333,78.15,49,55,6.62
3545867,Nueva Gerona,CU,21.8833,-82.8,76.53,67,7,16.33
2123621,Mago,RU,53.2514,140.1822,23.34,96,60,4.45
6032673,Lac-Mégantic,CA,45.5834,-70.8823,19.04,64,100,13.0
1266452,Chalakudi,IN,10.304,76.3361,84.2,70,40,4.61
